,Kingdom,Phylum,Class,Order,Family,Genus,Species
Seq3936,Bacteria,NA,NA,NA,NA,NA,NA
Seq3937,Bacteria,Patescibacteria,Parcubacteria,Candidatus Nealsonbacteria,uncultured bacterium,NA,NA
Seq3938,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq3939,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq3940,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
Seq3941,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
Seq3942,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,SCGC AAA011-D5,NA,NA
Seq3943,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq3944,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Scalinduaceae,Candidatus Scalindua,NA
Seq3945,Bacteria,NA,NA,NA,NA,NA,NA
Seq3946,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,NA
Seq3947,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq3948,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
Seq3949,Bacteria,NA,NA,NA,NA,NA,NA
Seq3950,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,uncultured Acidimicrobiales bacterium
Seq3951,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq3952,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq3953,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq3954,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,uncultured,seawater metagenome
Seq3955,Bacteria,NA,NA,NA,NA,NA,NA
Seq3956,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade,NA
Seq3957,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,hydrothermal vent metagenome,NA,NA
Seq3958,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq3959,Bacteria,NA,NA,NA,NA,NA,NA
Seq3960,Archaea,NA,NA,NA,NA,NA,NA
Seq3961,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq3962,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq3963,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq3964,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,NA
Seq3965,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Profundimonas,NA
Seq3966,Bacteria,NA,NA,NA,NA,NA,NA
Seq3967,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq3968,Bacteria,NA,NA,NA,NA,NA,NA
Seq3969,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq3970,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,Acanthopleuribacter pedis
Seq3971,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Croceibacter,NA
Seq3972,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq3973,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq3974,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,uncultured,NA
Seq3975,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq3976,Bacteria,NA,NA,NA,NA,NA,NA
Seq3977,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Seq3978,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Seq3979,Bacteria,NA,NA,NA,NA,NA,NA
Seq3980,Bacteria,NA,NA,NA,NA,NA,NA
Seq3981,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,NA,NA
Seq3982,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,NA
Seq3983,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,Candidatus Fritschea,Candidatus Syngnamydia salmonis
Seq3984,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,NA
Seq3985,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
Seq3986,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Halobacteriovorax,NA
Seq3987,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,NA,NA
Seq3988,Bacteria,NA,NA,NA,NA,NA,NA
Seq3989,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Seq3990,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Seq3991,Bacteria,NA,NA,NA,NA,NA,NA
Seq3992,Bacteria,NA,NA,NA,NA,NA,NA
Seq3993,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq3994,Bacteria,NA,NA,NA,NA,NA,NA
Seq3995,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,NA
Seq3996,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
Seq3997,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Taeseokella,NA
Seq3998,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Brumimicrobium,NA
Seq3999,Bacteria,NA,NA,NA,NA,NA,NA
Seq4000,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Fokiniaceae,MD3-55,NA
Seq4001,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,uncultured,marine metagenome
Seq4002,Bacteria,NA,NA,NA,NA,NA,NA
Seq4003,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,NA
Seq4004,Bacteria,Chloroflexi,N9D0,marine metagenome,NA,NA,NA
Seq4005,Bacteria,NA,NA,NA,NA,NA,NA
Seq4006,Bacteria,NA,NA,NA,NA,NA,NA
Seq4007,Bacteria,NA,NA,NA,NA,NA,NA
Seq4008,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,uncultured,marine metagenome
Seq4009,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4010,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4011,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Halobacteriovorax,NA
Seq4012,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,uncultured,uncultured marine bacterium
Seq4013,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4014,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,NA,NA,NA
Seq4015,Bacteria,Planctomycetota,Phycisphaerae,CCM11a,uncultured deep-sea bacterium,NA,NA
Seq4016,Bacteria,NA,NA,NA,NA,NA,NA
Seq4017,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
Seq4018,Bacteria,NA,NA,NA,NA,NA,NA
Seq4019,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,SCGC AAA011-D5,NA,NA
Seq4020,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,NA
Seq4021,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio butyratiphilus
Seq4022,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,NA,NA
Seq4023,Bacteria,NA,NA,NA,NA,NA,NA
Seq4024,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA
Seq4025,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,Pelagibacteraceae bacterium ETNP-OMZ-SAG-A7,NA
Seq4026,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,metagenome,NA,NA
Seq4027,Bacteria,NA,NA,NA,NA,NA,NA
Seq4028,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,Cladosiphon okamuranus
Seq4029,Bacteria,NA,NA,NA,NA,NA,NA
Seq4030,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,NA,NA
Seq4031,Bacteria,NA,NA,NA,NA,NA,NA
Seq4032,Bacteria,NA,NA,NA,NA,NA,NA
Seq4033,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,uncultured bacterium,NA,NA
Seq4034,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
Seq4035,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Syntrophaceae,Syntrophus,NA
Seq4036,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,NA
Seq4037,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,NA,NA
Seq4038,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA
Seq4039,Bacteria,NA,NA,NA,NA,NA,NA
Seq4040,Bacteria,NA,NA,NA,NA,NA,NA
Seq4041,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,uncultured marine microorganism
Seq4042,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4043,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
Seq4044,Bacteria,NA,NA,NA,NA,NA,NA
Seq4045,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Seq4046,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,Aureispira maritima
Seq4047,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Poseidonibacter,NA
Seq4048,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4049,Bacteria,NA,NA,NA,NA,NA,NA
Seq4050,Bacteria,NA,NA,NA,NA,NA,NA
Seq4051,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,NA
Seq4052,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,NA,NA,NA
Seq4053,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,NA,NA,NA
Seq4054,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA
Seq4055,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,bacterium QTYC46b,NA
Seq4056,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
Seq4057,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,metagenome
Seq4058,Bacteria,Proteobacteria,Gammaproteobacteria,OM182 clade,seawater metagenome,NA,NA
Seq4059,Bacteria,NA,NA,NA,NA,NA,NA
Seq4060,Bacteria,NA,NA,NA,NA,NA,NA
Seq4061,Bacteria,NA,NA,NA,NA,NA,NA
Seq4062,Bacteria,Verrucomicrobiota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,NA,NA
Seq4063,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,NA
Seq4064,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
Seq4065,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,seawater metagenome
Seq4066,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade,NA
Seq4067,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
Seq4068,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4069,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4070,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4071,Bacteria,NA,NA,NA,NA,NA,NA
Seq4072,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4073,Bacteria,NA,NA,NA,NA,NA,NA
Seq4074,Bacteria,NA,NA,NA,NA,NA,NA
Seq4075,Bacteria,NA,NA,NA,NA,NA,NA
Seq4076,Bacteria,NA,NA,NA,NA,NA,NA
Seq4077,Bacteria,NA,NA,NA,NA,NA,NA
Seq4078,Bacteria,NA,NA,NA,NA,NA,NA
Seq4079,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,uncultured Chloroflexi bacterium HF4000_28F02,NA,NA
Seq4080,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4081,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq4082,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,hydrothermal vent metagenome,NA,NA
Seq4083,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4084,Bacteria,NA,NA,NA,NA,NA,NA
Seq4085,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,NA
Seq4086,Bacteria,Elusimicrobiota,Lineage IIb,uncultured organism,NA,NA,NA
Seq4087,Bacteria,NA,NA,NA,NA,NA,NA
Seq4088,Bacteria,NA,NA,NA,NA,NA,NA
Seq4089,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Fokiniaceae,MD3-55,bacterium Sq1_host
Seq4090,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA
Seq4091,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
Seq4092,Bacteria,NA,NA,NA,NA,NA,NA
Seq4093,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,uncultured marine bacterium 440,NA
Seq4094,Bacteria,NA,NA,NA,NA,NA,NA
Seq4095,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,NA
Seq4096,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,NA,NA
Seq4097,Bacteria,NA,NA,NA,NA,NA,NA
Seq4098,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,NA
Seq4099,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4100,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,NA
Seq4101,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA
Seq4102,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,Erythrobacter sp. QSSC1-22B
Seq4103,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,NA,NA,NA
Seq4104,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4105,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4106,Bacteria,Proteobacteria,Gammaproteobacteria,MBAE14,NA,NA,NA
Seq4107,Bacteria,NA,NA,NA,NA,NA,NA
Seq4108,Bacteria,NA,NA,NA,NA,NA,NA
Seq4109,Bacteria,NA,NA,NA,NA,NA,NA
Seq4110,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq4111,Bacteria,NA,NA,NA,NA,NA,NA
Seq4112,Bacteria,PAUC34f,NA,NA,NA,NA,NA
Seq4113,Bacteria,NA,NA,NA,NA,NA,NA
Seq4114,Bacteria,Marinimicrobia (SAR406 clade),unidentified marine bacterioplankton,NA,NA,NA,NA
Seq4115,Bacteria,NA,NA,NA,NA,NA,NA
Seq4116,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,hydrothermal vent metagenome,NA,NA
Seq4117,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Seq4118,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4119,Bacteria,NA,NA,NA,NA,NA,NA
Seq4120,Bacteria,NA,NA,NA,NA,NA,NA
Seq4121,Bacteria,NA,NA,NA,NA,NA,NA
Seq4122,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
Seq4123,Bacteria,NA,NA,NA,NA,NA,NA
Seq4124,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,uncultured,bacterium symbiont of Idas sp.
Seq4125,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,uncultured,hydrothermal vent metagenome,NA
Seq4126,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq4127,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Seq4128,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,seawater metagenome
Seq4129,Bacteria,NA,NA,NA,NA,NA,NA
Seq4130,Bacteria,NA,NA,NA,NA,NA,NA
Seq4131,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4132,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,bacterium YC-LK-LKJ25
Seq4133,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,NA
Seq4134,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade,NA
Seq4135,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4136,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4137,Bacteria,NA,NA,NA,NA,NA,NA
Seq4138,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4139,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,uncultured,uncultured deep-sea bacterium
Seq4140,Bacteria,Planctomycetota,OM190,uncultured deep-sea bacterium,NA,NA,NA
Seq4141,Bacteria,Verrucomicrobiota,Lentisphaeria,P.palmC41,uncultured Cytophaga sp.,NA,NA
Seq4142,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4143,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4144,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,uncultured,uncultured marine bacterium
Seq4145,Bacteria,NA,NA,NA,NA,NA,NA
Seq4146,Bacteria,Actinobacteriota,WCHB1-81,NA,NA,NA,NA
Seq4147,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
Seq4148,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4149,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,uncultured bacterium HF0770_08F21
Seq4150,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,uncultured verrucomicrobium HF0500_16O23,NA,NA
Seq4151,Bacteria,AncK6,hydrothermal vent metagenome,NA,NA,NA,NA
Seq4152,Bacteria,Myxococcota,Polyangia,mle1-27,uncultured bacterium mle1-27,NA,NA
Seq4153,Bacteria,NA,NA,NA,NA,NA,NA
Seq4154,Bacteria,NA,NA,NA,NA,NA,NA
Seq4155,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4156,Bacteria,NA,NA,NA,NA,NA,NA
Seq4157,Bacteria,NA,NA,NA,NA,NA,NA
Seq4158,Bacteria,Marinimicrobia (SAR406 clade),uncultured Fibrobacteres/Acidobacteria group bacterium,NA,NA,NA,NA
Seq4159,Bacteria,NA,NA,NA,NA,NA,NA
Seq4160,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade III,NA,NA
Seq4161,Bacteria,NA,NA,NA,NA,NA,NA
Seq4162,Archaea,NA,NA,NA,NA,NA,NA
Seq4163,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4164,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfolunaceae,Desulfofrigus,NA
Seq4165,Bacteria,NA,NA,NA,NA,NA,NA
Seq4166,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4167,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,uncultured,uncultured sediment bacterium
Seq4168,Bacteria,NA,NA,NA,NA,NA,NA
Seq4169,Bacteria,Planctomycetota,Pla3 lineage,NA,NA,NA,NA
Seq4170,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,hydrothermal vent metagenome
Seq4171,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4172,Bacteria,NA,NA,NA,NA,NA,NA
Seq4173,Bacteria,NA,NA,NA,NA,NA,NA
Seq4174,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,SCGC AAA011-D5,NA,NA
Seq4175,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4176,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
Seq4177,Bacteria,Planctomycetota,BD7-11,NA,NA,NA,NA
Seq4178,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq4179,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4180,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,marine gamma proteobacterium HTCC2188
Seq4181,Bacteria,NA,NA,NA,NA,NA,NA
Seq4182,Bacteria,NA,NA,NA,NA,NA,NA
Seq4183,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4184,Bacteria,Cyanobacteria,Cyanobacteriia,NA,NA,NA,NA
Seq4185,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
Seq4186,Bacteria,NA,NA,NA,NA,NA,NA
Seq4187,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,NA,NA
Seq4188,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4189,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,marine metagenome
Seq4190,Bacteria,NA,NA,NA,NA,NA,NA
Seq4191,Unassigned,NA,NA,NA,NA,NA,NA
Seq4192,Bacteria,NA,NA,NA,NA,NA,NA
Seq4193,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group III,NA,NA,NA
Seq4194,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4195,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,uncultured bacterium HF0770_08F21
Seq4196,Bacteria,Patescibacteria,Gracilibacteria,JGI 0000069-P22,NA,NA,NA
Seq4197,Bacteria,NA,NA,NA,NA,NA,NA
Seq4198,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,NA
Seq4199,Bacteria,NA,NA,NA,NA,NA,NA
Seq4200,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4201,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,uncultured marine bacterium,NA,NA
Seq4202,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
Seq4203,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq4204,Bacteria,Firmicutes,NA,NA,NA,NA,NA
Seq4205,Bacteria,NA,NA,NA,NA,NA,NA
Seq4206,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4207,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq4208,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Phaeocystis antarctica,NA,NA
Seq4209,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4210,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,uncultured Oceanospirillales bacterium,NA,NA
Seq4211,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,NA
Seq4212,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
Seq4213,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4214,Bacteria,NA,NA,NA,NA,NA,NA
Seq4215,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
Seq4216,Bacteria,Firmicutes,NA,NA,NA,NA,NA
Seq4217,Bacteria,NA,NA,NA,NA,NA,NA
Seq4218,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA
Seq4219,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4220,Bacteria,NA,NA,NA,NA,NA,NA
Seq4221,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,A714019,uncultured Verrucomicrobia bacterium
Seq4222,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4223,Bacteria,Margulisbacteria,uncultured Candidatus Marinimicrobia bacterium,NA,NA,NA,NA
Seq4224,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,NA,NA
Seq4225,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4226,Bacteria,NA,NA,NA,NA,NA,NA
Seq4227,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA,NA
Seq4228,Bacteria,NA,NA,NA,NA,NA,NA
Seq4229,Bacteria,NA,NA,NA,NA,NA,NA
Seq4230,Bacteria,NA,NA,NA,NA,NA,NA
Seq4231,Bacteria,NA,NA,NA,NA,NA,NA
Seq4232,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq4233,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,hydrothermal vent metagenome,NA,NA
Seq4234,Bacteria,NA,NA,NA,NA,NA,NA
Seq4235,Bacteria,NA,NA,NA,NA,NA,NA
Seq4236,Bacteria,NA,NA,NA,NA,NA,NA
Seq4237,Bacteria,NA,NA,NA,NA,NA,NA
Seq4238,Bacteria,NA,NA,NA,NA,NA,NA
Seq4239,Bacteria,NA,NA,NA,NA,NA,NA
Seq4240,Bacteria,NA,NA,NA,NA,NA,NA
Seq4241,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,Candidatus Pacearchaeota archaeon CG1_02_32_21,NA
Seq4242,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
